Data,Hora,Padrao,Resultado,Estagio
03/04/2025,19:24:26,VPPPPVP,LOSS,Martingale 1
03/04/2025,19:24:53,VPPPPVP,LOSS,Martingale 2
03/04/2025,19:25:25,VPPPPVP,WIN,Martingale 2
03/04/2025,19:26:25,VPPPVV,WIN,Martingale 0
03/04/2025,19:28:27,VVPPPV,LOSS,Martingale 1
03/04/2025,19:28:54,VVPPPV,WIN,Martingale 1
03/04/2025,19:29:53,VPPPVPVV,LOSS,Martingale 1
03/04/2025,19:30:26,VPPPVPVV,LOSS,Martingale 2
03/04/2025,19:30:58,VPPPVPVV,LOSS,Gale 1
03/04/2025,19:35:27,BPPPP,LOSS,Martingale 1
03/04/2025,19:35:54,BPPPP,WIN,Martingale 1
03/04/2025,19:38:28,PPVPVVV,LOSS,Martingale 1
03/04/2025,19:38:55,PPVPVVV,WIN,Martingale 1
03/04/2025,19:40:26,PVVVVPPP,LOSS,Martingale 1
03/04/2025,19:40:58,PVVVVPPP,BRANCO,Martingale 1
03/04/2025,19:45:55,PVVVPP,WIN,Martingale 0
03/04/2025,19:51:27,VPPBP,WIN,Martingale 0
03/04/2025,19:52:27,PBPVP,WIN,Martingale 0
03/04/2025,19:53:31,PPBPVPVV,WIN,Martingale 0
03/04/2025,19:54:30,BPVPVVVP,BRANCO,Martingale 0
03/04/2025,19:57:30,BVVPPV,LOSS,Martingale 1
03/04/2025,19:57:57,BVVPPV,LOSS,Martingale 2
03/04/2025,19:58:29,BVVPPV,WIN,Martingale 2
03/04/2025,20:00:00,VPPVPP,WIN,Martingale 0
03/04/2025,20:01:31,PPVPPPPV,LOSS,Martingale 1
03/04/2025,20:01:58,PPVPPPPV,LOSS,Martingale 2
03/04/2025,20:02:30,PPVPPPPV,WIN,Martingale 2
03/04/2025,20:07:00,PVVVBPP,WIN,Martingale 0
03/04/2025,20:09:28,PPVPPV,LOSS,Martingale 1
03/04/2025,20:10:00,PPVPPV,LOSS,Martingale 2
03/04/2025,20:10:32,PPVPPV,WIN,Martingale 2
03/04/2025,20:13:28,PVBPPV,WIN,Martingale 0
03/04/2025,20:14:59,PPVPPV,LOSS,Martingale 1
03/04/2025,20:15:31,PPVPPV,WIN,Martingale 1
03/04/2025,20:17:59,VVPPPPV,LOSS,Martingale 1
03/04/2025,20:18:32,VVPPPPV,WIN,Martingale 1
03/04/2025,20:20:04,PPVPVPV,LOSS,Martingale 1
03/04/2025,20:20:31,PPVPVPV,WIN,Martingale 1
03/04/2025,20:21:31,PVPVPVP,WIN,Martingale 0
03/04/2025,20:22:30,PVPVPVP,LOSS,Martingale 1
03/04/2025,20:23:03,PVPVPVP,LOSS,Martingale 2
03/04/2025,20:23:29,PVPVPVP,WIN,Martingale 2
03/04/2025,20:24:34,VPPPVV,WIN,Martingale 0
03/04/2025,20:25:33,PPPVVVV,LOSS,Martingale 1
03/04/2025,20:26:00,PPPVVVV,LOSS,Martingale 2
03/04/2025,20:26:32,PPPVVVV,WIN,Martingale 2
03/04/2025,20:28:03,VPPVVP,BRANCO,Martingale 0
03/04/2025,20:29:02,PPVVPBP,WIN,Martingale 0
03/04/2025,20:31:31,PVVVPP,LOSS,Martingale 1
03/04/2025,20:32:03,PVVVPP,LOSS,Martingale 2
03/04/2025,20:32:35,PVVVPP,LOSS,Gale 1
03/04/2025,20:33:35,PPVVVP,LOSS,Martingale 1
03/04/2025,20:34:01,PPVVVP,LOSS,Martingale 2
03/04/2025,20:34:34,PPVVVP,LOSS,Gale 1
03/04/2025,20:35:32,VVPPPPV,WIN,Martingale 0
03/04/2025,20:36:32,VPPPPVVP,WIN,Martingale 0
03/04/2025,20:38:03,VVPPPV,WIN,Martingale 0
03/04/2025,20:39:02,VPPPVPV,WIN,Martingale 0
03/04/2025,20:40:06,PPVPVVV,WIN,Martingale 0
03/04/2025,20:41:31,PVVVPVP,WIN,Martingale 0
03/04/2025,20:42:36,VVVPVPPP,LOSS,Martingale 1
03/04/2025,20:43:03,VVVPVPPP,WIN,Martingale 1
03/04/2025,20:44:03,VPPPVPP,WIN,Martingale 0
03/04/2025,20:45:34,PPPPB,WIN,Martingale 0
03/04/2025,20:48:36,PVVPPV,WIN,Martingale 0
03/04/2025,20:49:36,VVPPVPV,LOSS,Martingale 1
03/04/2025,20:50:03,VVPPVPV,WIN,Martingale 1
03/04/2025,20:53:35,PVVVVPPP,WIN,Martingale 0
03/04/2025,20:54:34,VVPPPPV,BRANCO,Martingale 0
03/04/2025,20:56:36,PVBVVV,WIN,Martingale 0
03/04/2025,20:58:38,VVVPPV,WIN,Martingale 0
03/04/2025,20:59:37,VPPVVV,LOSS,Martingale 1
03/04/2025,21:00:04,VPPVVV,LOSS,Martingale 2
03/04/2025,21:00:37,VPPVVV,LOSS,Gale 1
03/04/2025,21:02:07,VVPPPPV,WIN,Martingale 0
03/04/2025,21:05:34,VPPPPPVP,WIN,Martingale 0
03/04/2025,21:08:35,PPPPB,WIN,Martingale 0
03/04/2025,21:16:36,VVPVVVVP,WIN,Martingale 0
03/04/2025,21:17:36,VVVPPV,WIN,Martingale 0
03/04/2025,21:19:07,PVPBP,LOSS,Martingale 1
03/04/2025,21:19:39,PVPBP,WIN,Martingale 1
03/04/2025,21:23:37,VPPPVV,WIN,Martingale 0
03/04/2025,21:25:08,PVVPPV,WIN,Martingale 0
03/04/2025,21:26:09,VPPVPP,WIN,Martingale 0
03/04/2025,21:27:40,VPPVPP,LOSS,Martingale 1
03/04/2025,21:28:12,VPPVPP,WIN,Martingale 1
03/04/2025,21:29:37,VPPPVPV,WIN,Martingale 0
03/04/2025,21:30:41,PPVPVPV,WIN,Martingale 0
03/04/2025,21:31:41,VPVPVPP,WIN,Martingale 0
03/04/2025,21:32:40,VPVPPVV,WIN,Martingale 0
03/04/2025,21:33:39,PPVVVP,LOSS,Martingale 1
03/04/2025,21:34:11,PPVVVP,WIN,Martingale 1
03/04/2025,21:35:10,PVVVPPVV,WIN,Martingale 0
03/04/2025,21:37:12,VVPPPV,WIN,Martingale 0
03/04/2025,21:38:43,PPPVVVV,LOSS,Martingale 1
03/04/2025,21:39:10,PPPVVVV,WIN,Martingale 1
03/04/2025,21:40:09,PVVVVVPV,BRANCO,Martingale 0
03/04/2025,21:45:10,PVVVVVVPV,WIN,Martingale 0
03/04/2025,21:48:10,BPPPP,BRANCO,Martingale 0
03/04/2025,21:49:14,PPPBV,LOSS,Martingale 1
03/04/2025,21:49:41,PPPBV,WIN,Martingale 1
03/04/2025,21:56:10,BVPVP,LOSS,Martingale 1
03/04/2025,21:56:42,BVPVP,WIN,Martingale 1
03/04/2025,21:58:13,VPPVPP,LOSS,Martingale 1
03/04/2025,21:58:45,VPPVPP,BRANCO,Martingale 1
03/04/2025,22:03:43,VPPPPPVP,LOSS,Martingale 1
03/04/2025,22:04:16,VPPPPPVP,LOSS,Martingale 2
03/04/2025,22:04:42,VPPPPPVP,WIN,Martingale 2
03/04/2025,22:05:42,PVPVVPV,WIN,Martingale 0
03/04/2025,22:12:46,VVPVVVVP,LOSS,Martingale 1
03/04/2025,22:13:13,VVPVVVVP,LOSS,Martingale 2
03/04/2025,22:13:45,VVPVVVVP,LOSS,Gale 1
03/04/2025,22:14:44,VVVVPVVVP,WIN,Martingale 0
03/04/2025,22:15:43,PVVVPVP,LOSS,Martingale 1
03/04/2025,22:16:15,PVVVPVP,WIN,Martingale 1
03/04/2025,22:19:48,PVPVVVVVP,WIN,Martingale 0
03/04/2025,22:20:47,PVVVVVPVP,WIN,Martingale 0
03/04/2025,22:22:18,PVPVVP,WIN,Martingale 0
03/04/2025,22:23:18,PVVPVV,WIN,Martingale 0
03/04/2025,22:24:49,VPVVPVP,WIN,Martingale 0
03/04/2025,22:25:48,VPVPPV,WIN,Martingale 0
03/04/2025,22:26:47,VPPVVP,LOSS,Martingale 1
03/04/2025,22:27:19,VPPVVP,LOSS,Martingale 2
03/04/2025,22:27:46,VPPVVP,WIN,Martingale 2
03/04/2025,22:28:18,VVPPPV,LOSS,Martingale 1
03/04/2025,22:28:45,VVPPPV,WIN,Martingale 1
03/04/2025,22:30:15,PVVPVP,WIN,Martingale 0
03/04/2025,22:31:20,PVVPVPPP,LOSS,Martingale 1
03/04/2025,22:31:46,PVVPVPPP,WIN,Martingale 1
03/04/2025,22:32:46,VPPPVPV,WIN,Martingale 0
03/04/2025,22:33:50,PVPVVP,WIN,Martingale 0
03/04/2025,22:34:49,PVVPVV,WIN,Martingale 0
03/04/2025,22:36:19,VPVVPVP,BRANCO,Martingale 0
03/04/2025,22:39:20,BVVPPV,LOSS,Martingale 1
03/04/2025,22:39:46,BVVPPV,WIN,Martingale 1
03/04/2025,22:40:46,VPPVPVV,WIN,Martingale 0
03/04/2025,22:41:50,PVPVVPV,WIN,Martingale 0
03/04/2025,22:42:49,PVPVVPVVP,LOSS,Martingale 1
03/04/2025,22:43:16,PVPVVPVVP,WIN,Martingale 1
03/04/2025,22:44:48,VPPVVP,LOSS,Martingale 1
03/04/2025,22:45:21,VPPVVP,WIN,Martingale 1
03/04/2025,22:46:47,VVPPVPV,WIN,Martingale 0
03/04/2025,22:47:47,PPVPVVV,LOSS,Martingale 1
03/04/2025,22:48:19,PPVPVVV,LOSS,Martingale 2
03/04/2025,22:48:51,PPVPVVV,LOSS,Gale 1
03/04/2025,22:51:52,VPPBP,WIN,Martingale 0
03/04/2025,22:53:22,BPPPP,LOSS,Martingale 1
03/04/2025,22:53:49,BPPPP,LOSS,Martingale 2
03/04/2025,22:54:21,BPPPP,LOSS,Gale 1
03/04/2025,22:55:20,PPVVVB,LOSS,Martingale 1
03/04/2025,22:55:48,PPVVVB,WIN,Martingale 1
03/04/2025,22:56:52,PVVVBVPP,WIN,Martingale 0
03/04/2025,22:58:23,VPPVPP,LOSS,Martingale 1
03/04/2025,22:58:49,VPPVPP,LOSS,Martingale 2
03/04/2025,22:59:22,VPPVPP,WIN,Martingale 2
03/04/2025,23:00:49,PVVPVP,LOSS,Martingale 1
03/04/2025,23:01:21,PVVPVP,LOSS,Martingale 2
03/04/2025,23:01:53,PVVPVP,LOSS,Gale 1
03/04/2025,23:02:52,PVPVVVP,BRANCO,Martingale 0
03/04/2025,23:04:50,PBPPV,LOSS,Martingale 1
03/04/2025,23:05:22,PBPPV,WIN,Martingale 1
03/04/2025,23:06:53,PPVPVVV,LOSS,Martingale 1
03/04/2025,23:07:20,PPVPVVV,LOSS,Martingale 2
03/04/2025,23:07:52,PPVPVVV,WIN,Martingale 2
03/04/2025,23:08:51,PVVVPPVV,LOSS,Martingale 1
03/04/2025,23:09:23,PVVVPPVV,WIN,Martingale 1
03/04/2025,23:12:54,VVPVVVVVV,LOSS,Martingale 1
03/04/2025,23:13:21,VVPVVVVVV,LOSS,Martingale 2
03/04/2025,23:13:53,VVPVVVVVV,WIN,Martingale 2
03/04/2025,23:15:24,VPPVPV,WIN,Martingale 0
03/04/2025,23:16:23,PPVPVPV,LOSS,Martingale 1
03/04/2025,23:16:55,PPVPVPV,WIN,Martingale 1
03/04/2025,23:19:23,VVPPPPV,WIN,Martingale 0
03/04/2025,23:21:22,PVPVVP,LOSS,Martingale 1
03/04/2025,23:21:54,PVPVVP,LOSS,Martingale 2
03/04/2025,23:22:26,PVPVVP,LOSS,Gale 1
03/04/2025,23:24:23,VPVVVVVP,WIN,Martingale 0
03/04/2025,23:25:22,VVPVVVVVPVV,LOSS,Martingale 1
03/04/2025,23:25:54,VVPVVVVVPVV,LOSS,Martingale 2
03/04/2025,23:26:26,VVPVVVVVPVV,WIN,Martingale 2
03/04/2025,23:27:57,VPPVVV,LOSS,Martingale 1
03/04/2025,23:28:25,VPPVVV,LOSS,Martingale 2
03/04/2025,23:28:57,VPPVVV,LOSS,Gale 1
03/04/2025,23:34:25,PVVVBVPP,LOSS,Martingale 1
03/04/2025,23:34:57,PVVVBVPP,WIN,Martingale 1
03/04/2025,23:35:56,VPPVPV,LOSS,Martingale 1
03/04/2025,23:36:28,VPPVPV,WIN,Martingale 1
03/04/2025,23:37:27,PVPVVPV,WIN,Martingale 0
03/04/2025,23:38:27,VPVPB,LOSS,Martingale 1
03/04/2025,23:38:59,VPVPB,LOSS,Martingale 2
03/04/2025,23:39:26,VPVPB,LOSS,Gale 1
03/04/2025,23:40:25,BPPPP,LOSS,Martingale 1
03/04/2025,23:40:57,BPPPP,WIN,Martingale 1
03/04/2025,23:43:25,PPVPVPV,LOSS,Martingale 1
03/04/2025,23:43:57,PPVPVPV,WIN,Martingale 1
03/04/2025,23:44:57,PVPVB,LOSS,Martingale 1
03/04/2025,23:45:29,PVPVB,WIN,Martingale 1
03/04/2025,23:48:29,PVVVPVP,WIN,Martingale 0
03/04/2025,23:49:28,VPVPPV,LOSS,Martingale 1
03/04/2025,23:49:55,VPVPPV,WIN,Martingale 1
03/04/2025,23:51:26,PPVPVPV,LOSS,Martingale 1
03/04/2025,23:51:58,PPVPVPV,WIN,Martingale 1
03/04/2025,23:54:58,VVVVB,WIN,Martingale 0
03/04/2025,23:55:57,VVBVV,LOSS,Martingale 1
03/04/2025,23:56:29,VVBVV,WIN,Martingale 1
03/04/2025,23:58:26,VPVPPV,LOSS,Martingale 1
03/04/2025,23:58:58,VPVPPV,LOSS,Martingale 2
03/04/2025,23:59:30,VPVPPV,WIN,Martingale 2
04/04/2025,00:00:29,PPVPPVV,BRANCO,Martingale 0
04/04/2025,00:02:00,VVBVV,WIN,Martingale 0
04/04/2025,00:02:59,BVVVV,WIN,Martingale 0
04/04/2025,00:05:28,VVVPPV,WIN,Martingale 0
04/04/2025,00:06:27,VPPVVP,WIN,Martingale 0
04/04/2025,00:07:28,PVVPVP,BRANCO,Martingale 0
04/04/2025,00:08:28,PVPBP,BRANCO,Martingale 0
04/04/2025,00:12:00,BPVPV,BRANCO,Martingale 0
04/04/2025,00:14:28,BPVPV,LOSS,Martingale 1
04/04/2025,00:15:00,BPVPV,WIN,Martingale 1
04/04/2025,00:17:02,PVPVVVP,LOSS,Martingale 1
04/04/2025,00:17:29,PVPVVVP,WIN,Martingale 1
04/04/2025,00:19:31,PVPVVP,WIN,Martingale 0
04/04/2025,00:20:31,VPVVPVP,LOSS,Martingale 1
04/04/2025,00:21:03,VPVVPVP,LOSS,Martingale 2
04/04/2025,00:21:30,VPVVPVP,WIN,Martingale 2
04/04/2025,00:22:29,PVPVVPV,WIN,Martingale 0
04/04/2025,00:24:31,VVPVVVVP,WIN,Martingale 0
04/04/2025,00:29:00,VPPPVPV,WIN,Martingale 0
04/04/2025,00:30:04,PPVPVVV,LOSS,Martingale 1
04/04/2025,00:30:31,PPVPVVV,LOSS,Martingale 2
04/04/2025,00:31:02,PPVPVVV,WIN,Martingale 2
04/04/2025,00:32:33,PVVVVVPPP,WIN,Martingale 0
04/04/2025,00:34:31,VPPPPPPP,WIN,Martingale 0
04/04/2025,00:35:31,PPPPPPPV,LOSS,Martingale 1
04/04/2025,00:36:03,PPPPPPPV,LOSS,Martingale 2
04/04/2025,00:36:35,PPPPPPPV,WIN,Martingale 2
04/04/2025,00:38:05,VPPVPV,LOSS,Martingale 1
04/04/2025,00:38:32,VPPVPV,LOSS,Martingale 2
04/04/2025,00:39:05,VPPVPV,LOSS,Gale 1
04/04/2025,00:41:01,VPPPPVV,LOSS,Martingale 1
04/04/2025,00:41:34,VPPPPVV,WIN,Martingale 1
04/04/2025,00:42:32,PVVVPP,LOSS,Martingale 1
04/04/2025,00:43:05,PVVVPP,LOSS,Martingale 2
04/04/2025,00:43:37,PVVVPP,WIN,Martingale 2
04/04/2025,00:44:36,VPPPPVP,LOSS,Martingale 1
04/04/2025,00:45:03,VPPPPVP,LOSS,Martingale 2
04/04/2025,00:45:35,VPPPPVP,BRANCO,Martingale 2
04/04/2025,00:46:34,PPPBV,WIN,Martingale 0
04/04/2025,00:48:32,BVVPPV,BRANCO,Martingale 0
04/04/2025,00:50:34,PVBPPV,WIN,Martingale 0
04/04/2025,00:52:38,PVVPPV,WIN,Martingale 0
04/04/2025,00:53:37,VPPVPV,LOSS,Martingale 1
04/04/2025,00:54:04,VPPVPV,LOSS,Martingale 2
04/04/2025,00:54:36,VPPVPV,LOSS,Gale 1
04/04/2025,00:56:07,PVVVVPV,WIN,Martingale 0
04/04/2025,00:57:06,VVVPVPP,LOSS,Martingale 1
04/04/2025,00:57:38,VVVPVPP,WIN,Martingale 1
04/04/2025,00:58:37,VPVPPVPP,LOSS,Martingale 1
04/04/2025,00:59:09,VPVPPVPP,WIN,Martingale 1
04/04/2025,01:00:35,VPPPVPP,WIN,Martingale 0
04/04/2025,01:01:34,PPVPPPV,WIN,Martingale 0
04/04/2025,01:03:05,PVPBP,LOSS,Martingale 1
04/04/2025,01:03:37,PVPBP,LOSS,Martingale 2
04/04/2025,01:04:09,PVPBP,LOSS,Gale 1
04/04/2025,01:06:37,PPPPPPPV,WIN,Martingale 0
04/04/2025,01:08:07,PVPBP,WIN,Martingale 0
04/04/2025,01:09:38,BPPPP,LOSS,Martingale 1
04/04/2025,01:10:05,BPPPP,WIN,Martingale 1
04/04/2025,01:14:07,VVBPVVP,WIN,Martingale 0
04/04/2025,01:15:06,PVVPPV,WIN,Martingale 0
04/04/2025,01:16:06,VPPVPP,WIN,Martingale 0
04/04/2025,01:17:36,VPPVPV,WIN,Martingale 0
04/04/2025,01:20:37,VPPPPVP,WIN,Martingale 0
04/04/2025,01:22:07,PPVPVVV,LOSS,Martingale 1
04/04/2025,01:22:39,PPVPVVV,LOSS,Martingale 2
04/04/2025,01:23:11,PPVPVVV,LOSS,Gale 1
04/04/2025,01:24:10,VVPPPV,LOSS,Martingale 1
04/04/2025,01:24:38,VVPPPV,WIN,Martingale 1
04/04/2025,01:26:09,PVVPVV,WIN,Martingale 0
04/04/2025,01:27:40,VPVVPVP,WIN,Martingale 0
04/04/2025,01:28:39,VPVPPV,LOSS,Martingale 1
04/04/2025,01:29:11,VPVPPV,WIN,Martingale 1
04/04/2025,01:30:10,PVPPVPVV,LOSS,Martingale 1
04/04/2025,01:30:37,PVPPVPVV,WIN,Martingale 1
04/04/2025,01:31:42,PVVPVV,BRANCO,Martingale 0
04/04/2025,01:34:38,BPPVVV,WIN,Martingale 0
04/04/2025,01:35:38,VVVVB,WIN,Martingale 0
04/04/2025,01:36:42,VVBVV,WIN,Martingale 0
04/04/2025,01:40:12,PVBPPV,WIN,Martingale 0
04/04/2025,01:41:11,PVBPPVPV,WIN,Martingale 0
04/04/2025,01:42:10,VPVPB,LOSS,Martingale 1
04/04/2025,01:42:42,VPVPB,WIN,Martingale 1
04/04/2025,01:44:13,BVPVP,LOSS,Martingale 1
04/04/2025,01:44:40,BVPVP,LOSS,Martingale 2
04/04/2025,01:45:12,BVPVP,LOSS,Gale 1
04/04/2025,01:46:11,PVPVVVP,LOSS,Martingale 1
04/04/2025,01:46:43,PVPVVVP,LOSS,Martingale 2
04/04/2025,01:47:10,PVPVVVP,LOSS,Gale 1
04/04/2025,01:48:14,VVPPPPV,WIN,Martingale 0
04/04/2025,01:49:12,VPPPPVVP,WIN,Martingale 0
04/04/2025,01:50:43,VVPPPV,LOSS,Martingale 1
04/04/2025,01:51:10,VVPPPV,LOSS,Martingale 2
04/04/2025,01:51:42,VVPPPV,LOSS,Gale 1
04/04/2025,01:52:41,PPVVVVP,LOSS,Martingale 1
04/04/2025,01:53:13,PPVVVVP,WIN,Martingale 1
04/04/2025,01:54:41,VPPVVP,LOSS,Martingale 1
04/04/2025,01:55:14,VPPVVP,LOSS,Martingale 2
04/04/2025,01:55:41,VPPVVP,WIN,Martingale 2
04/04/2025,02:00:41,PPVVVP,LOSS,Martingale 1
04/04/2025,02:01:13,PPVVVP,WIN,Martingale 1
04/04/2025,02:02:44,VPPVPV,LOSS,Martingale 1
04/04/2025,02:03:16,VPPVPV,LOSS,Martingale 2
04/04/2025,02:03:43,VPPVPV,WIN,Martingale 2
04/04/2025,02:08:43,PPPVVVV,WIN,Martingale 0
04/04/2025,02:10:14,VVVPPV,LOSS,Martingale 1
04/04/2025,02:10:46,VVVPPV,LOSS,Martingale 2
04/04/2025,02:11:13,VVVPPV,LOSS,Gale 1
04/04/2025,02:13:46,PVVVVVPPP,BRANCO,Martingale 0
04/04/2025,02:20:16,BVPVP,LOSS,Martingale 1
04/04/2025,02:20:48,BVPVP,WIN,Martingale 1
04/04/2025,02:22:18,PVPVPVP,LOSS,Martingale 1
04/04/2025,02:22:45,PVPVPVP,WIN,Martingale 1
04/04/2025,02:23:49,VPVPPVV,WIN,Martingale 0
04/04/2025,02:25:15,PVVPVP,LOSS,Martingale 1
04/04/2025,02:25:47,PVVPVP,LOSS,Martingale 2
04/04/2025,02:26:19,PVVPVP,LOSS,Gale 1
04/04/2025,02:28:15,VPVVVVVP,WIN,Martingale 0
04/04/2025,02:29:45,VVPPPV,WIN,Martingale 0
04/04/2025,02:31:16,PPVVVP,LOSS,Martingale 1
04/04/2025,02:31:48,PPVVVP,WIN,Martingale 1
04/04/2025,02:33:18,VPPVPV,WIN,Martingale 0
04/04/2025,02:36:17,VPPPPVP,WIN,Martingale 0
04/04/2025,02:37:16,PPVPVB,WIN,Martingale 0
04/04/2025,02:39:18,BVPVP,LOSS,Martingale 1
04/04/2025,02:39:50,BVPVP,LOSS,Martingale 2
04/04/2025,02:40:17,BVPVP,LOSS,Gale 1
04/04/2025,02:41:47,PPPPB,WIN,Martingale 0
04/04/2025,02:47:50,PVBPPV,LOSS,Martingale 1
04/04/2025,02:48:17,PVBPPV,WIN,Martingale 1
04/04/2025,02:49:48,PVVPVV,WIN,Martingale 0
04/04/2025,02:51:19,PVVPVV,WIN,Martingale 0
04/04/2025,02:52:50,PVVPVV,LOSS,Martingale 1
04/04/2025,02:53:22,PVVPVV,WIN,Martingale 1
04/04/2025,02:54:21,VVPVVVPP,LOSS,Martingale 1
04/04/2025,02:54:53,VVPVVVPP,BRANCO,Martingale 1
04/04/2025,02:55:52,PPPBV,WIN,Martingale 0
04/04/2025,02:57:23,BVPVP,LOSS,Martingale 1
